Date,Description,Status,Major Rd,Minor Rd,Inconclusive,Cords,Map,Fatal Crash,Fatal Persons,Twp,CVT,Distracted,Driveway Related,Intersection Related,Road side Fixed object,"Human (speeding, Seatbelt, Helmet, Drwosy, imparied, distracted)",Work Zone?,Animal Related?,Left of Center,Alcohol_Drugs,Medical,Gravel,Wet/Snow/Ice,Teen,Pedestrian_Bike,Motorcycle/ATV/Snowmobile,Elderly
3/3/2012,"Motorist was killed when they crossed the centerline on northbound Haggerty Road near the intersection of Oakley Park Road, and hit a southbound vehicle head-on. The southbound vehicle was hit from behind by a third vehicle involved in the crash.",,Haggerty Rd,Oakley Park Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
4/3/2012,"Motorist was killed when they crossed the centerline on westbound Pontiac Trail, approximately 1500 feet west of West Park Drive, and hit an eastbound vehicle head-on.",,Pontiac Trail,West Park Dr,,,,1,1,,,,,,,,,,,,,,,,0,0,
4/30/2012,Motorist was killed when they crossed the centerline on northbound Sashabaw Road just north of Meigs Avenue and hit a southbound vehicle head-on.,,Sashabaw Rd,Meigs Ave,,,,1,1,,,,,,,,,,,,,,,,0,0,
5/2/2012,"Motorist was killed when they crossed the centerline on northbound White Lake Road approximately 500 feet north of Andersonville Road, sideswiping a southbound vehicle before crashing head-on into a second southbound vehicle.",,White Lake Road,Andersonville Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
6/19/2012,"Motorist travelling westbound on East Holly Road, west of Webber Road, lost control ran off the road and overturned several times. The driver was killed and the passenger was an A injury.",,East Holly Rd,Webber Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
6/27/2012,A motorist northbound on Farmington Road turned left onto Kingsfield Drive and was hit by a southbound vehicle. The passenger in the turning vehicle died seven days later in the hospital from the injuries.,,Farmington Rd,Kingsfield Dr,,,,1,1,,,,,,,,,,,,,,,,0,0,
7/24/2012,A motorcyclist on northbound Sashabaw Road was killed when they ran into the back of another vehicle stopped to make a left turn onto Bella Rose Boulevard.,,Sashabaw Rd,Bella Rose Blvd,,,,1,1,,,,,,,,,,,,,,,,0,1,
7/24/2012,"A motorist southbound on North Holly Road, south of Mitchell Road, lost control of their vehicle and ran off the road rolling the vehicle over. The driver was not wearing a seat belt and was ejected from the vehicle. Alcohol was a factor in the crash.",,North Holly Rd,Mitchell Rd,,,,1,1,,,,,,,,,,,1,,,,,0,0,
7/28/2012,"A motorcyclist northbound on Newton Road at Listeria Street/Rio Vista Street was killed when he lost control, crossed the centerline and slid into a southbound vehicle.",,Newton Rd,Listeria St,,,,1,1,,,,,,,,,,,,,,,,0,1,
8/21/2012,"RCOC truck driver on Pearson Road, just east of Milford Road was killed when the RCOC truck overturned on the shoulder.",,Pearson Rd,Milford Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
